GTVID,Latitude,Longitude,nearest_interstate,distance_to_interstate_mi
RPG134,37.48074709999999,-77.48007849999999,I- 95,2.640806406004796
SLG239,38.5423452,-90.4637086,I- 44,0.038483252512636464
BAG037,35.252429,-118.843003,I- 5,15.40663319978053
CLG226,41.379891,-82.068039,I- 80,0.06747882541824624
RPG135,38.1713286,-78.27887989999999,I- 64,12.135725681226488
SJG012,39.752545,-94.214996,I- 35,0.2521990549118808
KNG100,35.965168,-84.981094,I- 40,0.19987429110565957
COG156,35.121301,-85.257935,I- 24,6.955818426784709
MPG208,30.628554,-88.08952699999999,I- 10,0.6728165106041762
RPG136,37.078547,-77.585739,I- 85,0.685487385779198
ATW713,34.0427005,-84.6028954,I- 75,0.926602307302449
PXE048,33.6292127,-111.8868081,I- 17,13.111456842019965
SSE019,43.31612519999999,-98.3451882,I- 90,26.30983546409612
IFE012,43.4512986,-111.339082,I- 15,35.890615104617545
WFE007,34.59395290000001,-98.3908769,I- 44,0.6525079018949852
SNE003,34.2338822,-96.219221,I- 35,53.26099257528756
LVE012,35.9623787,-115.1748055,I- 15,0.37612276062434946
POE035,44.8311438,-122.7948216,I- 5,10.395376639588745
LVE001,36.0046153,-114.944671,I- 11,0.347254515998338
MQE012,47.1205883,-88.5742913,I- 39,161.68586579719064
CHW802,41.7649441,-87.68302949999999,I- 94,2.8255649930731987
CHW802,41.7649441,-87.68302949999999,I- 90,2.8255649930731987
DSW056,46.8362956,-92.0158069,I- 35,2.870878953072684
CME026,33.6763511,-80.24261349999999,I- 95,1.1038733427507907
CUW078,32.446746,-84.92959499999999,I- 185,0.09626796899602853
HFE003,41.7706949,-72.3056981,I- 84,6.949020585931082
MNW435,44.770715,-93.92064,I- 494,24.778532862605367
PRE002,41.6768538,-71.18029,I- 195,2.069033506881042
NAE026,35.308361,-86.88034200000001,I- 65,0.10330799472584702
GRW175,43.6965463,-86.36085489999999,I- 96,36.99158523727832
CBE051,40.0169498,-83.0903853,I- 270,1.562964061641023
FVE006,47.9074684,-96.0357774,I- 29,49.04678532768658
SPW041,46.8879853,-117.3637221,I- 90,40.33850208001177
LVE013,36.1110747,-115.3056883,I- 15,6.921478057341246
HDW097,34.7117402,-86.60966669999999,I- 565,0.8566085301333122
DTE018,42.6483058,-83.2712975,I- 75,1.664553018399443
DTE324,42.4429797,-83.254657,I- 696,2.968492995137107
FSE011,43.1181499,-83.7348139,I- 75,1.431338398854853
DTE361,42.5773424,-83.1278942,I- 75,1.2293416278672782
HLW035,39.89043119999999,-77.1832489,I- 81,18.338483641313097
CUW079,32.5556887,-84.972672,I- 185,0.5736503926614539
LVE030,36.0140707,-115.1718477,I- 15,0.4673556431099124
SPE027,47.3292087,-119.5458184,I- 90,15.469461303489231
LVE008,36.084454,-115.2421397,I- 215,3.171018348677378
CHE017,42.1188104,-87.8956729,I- 294,0.610546957849934
SNE017,34.3020448,-95.9968514,I- 35,64.85508685644773
DTE210,42.4776519,-83.006573,I- 696,1.0073398444830948
SNW043,34.39002,-96.1268135,I- 35,56.8572597985723
SSE077,43.3979641,-97.1213326,I- 90,15.381444958991816
BIW199,33.1083783,-86.2313377,I- 65,27.230875123579214
WSW014,40.20307260000001,-80.7718021,I- 70,9.226693914998906
INE054,40.292087,-87.247843,I- 74,11.679304112633998
MNW436,44.56388,-92.538797,I- 94,26.16366267231119
ZNE001,39.9082785,-82.0008493,I- 70,2.4855501113792933
AUE030,30.8057509,-97.6123947,I- 35,0.16325258749909677
CSW020,33.1863588,-80.5731854,I- 95,1.9429624891355783
HDW098,35.0177383,-86.35933779999999,I- 565,21.127073445286495
MCE026,32.9925725,-83.8424546,I- 75,0.12783806849162863
PCW037,30.9490878,-85.4029508,I- 10,13.548492728736068
CHE321,42.0888803,-88.0346656,I- 90,2.084104449176589
RLE027,37.075579,-80.6931688,I- 81,0.15793495867587706
HLE003,39.8331971,-77.221452,I- 81,20.285286496612528
AUE039,30.2661716,-97.7341993,I- 35,0.010568699058266654
EVW015,38.3335122,-87.3534829,I- 69,1.7155039285080864
KNE015,35.7342676,-84.3977924,I- 75,0.18306920345088606
RFE022,41.8402208,-89.48725619999999,I- 88,1.6451433466907335
PTE027,40.3386969,-79.9598027,I- 376,6.181087089758908
RPE020,37.5070767,-77.5848889,I- 195,6.115436494060116
ORE013,28.3928423,-81.36696979999999,I- 4,6.6832770663884355
LRW097,35.0850362,-92.2014387,I- 40,11.91035225844242
RLE029,37.0653955,-80.44167039999999,I- 81,2.82361697737177
DVW090,39.4732258,-107.2691563,I- 70,5.991597974918103
TPE027,28.043669,-81.7264234,I- 4,8.753272654516879
CIW016,42.6152994,-91.9051345,I- 380,18.53212459938182
MPE021,30.6279681,-88.1351792,I- 10,0.4827400065908507
SNE015,34.5368277,-96.2182201,I- 35,51.956088986902415
OAE015,41.184127,-95.9669526,I- 80,2.8016281875186255
SNW046,34.0270303,-95.8802366,I- 30,62.17635157598284
COE016,34.7754432,-85.89344469999999,I- 59,18.26864150057018
HDW100,34.7713679,-86.58917749999999,I- 565,1.5815266542358903
FSE039,42.967221,-83.9280721,I- 69,0.19569130962821757
DTW619,42.3817905,-83.37229719999999,I- 96,0.042361333943874674
OKE016,35.8680277,-99.3475058,I- 40,29.95600243486411
MSE008,32.4037491,-86.3079727,I- 65,1.321674293655978
RNE003,37.9573425,-119.1193377,I- 580,87.92967044065102
GEW047,36.22984,-77.1146727,I- 95,31.53184840266103
CHW805,41.6223057,-87.6165429,I- 94,1.9252333631070633
LSW069,38.1480836,-85.7762281,I- 264,2.785232924000791
CHE228,41.8017657,-87.62147370000001,I- 94,0.4861716282928514
CHE228,41.8017657,-87.62147370000001,I- 90,0.4861716282928514
NYW591,40.8616289,-73.1208073,I- 495,3.3924329883467252
TPE019,28.080855,-82.434277,I- 275,1.2466703649947015
CHW807,41.7199109,-87.76766889999999,I- 294,1.5706042698593599
JAE007,32.3901056,-90.8579422,I- 20,3.2116933761886353
SSW125,45.4582352,-98.1012529,I- 29,51.46169285691268
BFE026,43.0523244,-78.4505494,I- 90,3.854445977108284
LRW098,35.360764,-93.120538,I- 40,3.8345521348687766
OAW055,41.0728772,-95.9294206,I- 29,5.23460037641998
NOW076,29.9804947,-90.4080937,I- 310,3.0070867346924293
SAE017,29.5138404,-98.4825959,I- 410,0.437832803183495
CLE024,41.4839343,-81.7759251,I- 90,1.2130084096802634
BHE002,42.0844497,-75.6421991,I- 86,0.7751440680675362
PTW106,40.3188088,-80.0883151,I- 79,2.471840348535391
POW212,45.5490868,-122.4921423,I- 84,0.4574317999261069
CLW183,41.26652319999999,-82.6107973,I- 80,3.915661440071722
CLW183,41.26652319999999,-82.6107973,I- 90,3.915661440071722
PTW107,40.1384546,-79.8421479,I- 70,0.11734265710651783
SSE018,44.630584,-97.64581,I- 29,33.38398093027489
LXE001,38.3894189,-83.6715979,I- 64,15.560298332762516
DVW091,39.66986989999999,-104.9410072,I- 25,0.6388201319646534
JPW028,36.5033502,-94.2780103,I- 49,5.577261944890826
SYW032,42.468142,-76.40826369999999,I- 81,15.244569777668165
MAE041,25.7781154,-80.2784092,I- 395,4.4516471787585985
PDW075,38.4394065,-88.9469604,I- 57,0.27676215774205426
NYE079,41.1048335,-73.4043569,I- 95,0.26835630816054473
SNW047,34.0051128,-96.043253,I- 30,60.34120151900661
RAW185,36.4047275,-78.9789606,I- 85,21.57655375197273
GHE001,36.0329767,-79.7910386,I- 40,0.1940430619893306
LRE006,34.9848307,-91.96331440000002,I- 40,12.59975754038585
SGE051,36.3607815,-93.5652292,I- 49,32.88939320627491
NYE193,40.6685141,-73.6093972,I- 495,7.742748597086837
BOW162,42.566992,-71.4237674,I- 495,0.1682147059426491
MAE038,26.271814,-80.23559499999999,I- 95,6.294727556348012
SLE037,38.5429929,-90.1924945,I- 255,0.5522352541677717
SVE004,32.4536667,-80.73300499999999,I- 95,13.91285687294623
HFW069,41.5017753,-72.2014702,I- 395,4.330676077505401
CHE298,42.1048461,-88.2587799,I- 90,2.6583714463869046
JPW029,37.0546542,-94.5009673,I- 44,0.6608207421397013
DTE257,42.6759742,-82.74554479999999,I- 94,2.5388176592026577
AUE013,30.5537148,-97.5596336,I- 35,7.8945298972112425
FWE003,41.6419763,-84.9991022,I- 69,1.9988957017341074
WFW013,34.660083,-97.9574268,I- 44,17.65533159426245
SGE044,36.2652236,-93.1371548,I- 49,56.02448121960733
NAW076,35.6175834,-87.07099210000001,I- 65,9.50527989033166
SKE020,40.1608254,-111.6504685,I- 15,0.1888018035846851
CHE424,41.937267,-87.7071374,I- 94,0.07261711943177553
MME010,34.6958005,-89.9787568,I- 55,0.738778643828842
TPW152,28.0603321,-82.3089188,I- 75,2.721396839179122
JPW030,36.8724086,-94.371087,I- 49,3.017097742388881
LVW082,36.06758,-114.9941822,I- 515,1.9965796047380326
CLW184,41.4708534,-82.1731266,I- 90,4.873750508480171
BVW030,36.19267809999999,-94.1836766,I- 49,0.20723711961919847
ATW714,33.9772402,-84.0953787,I- 85,0.31276613888282173
GHW131,36.4099027,-80.49894599999999,I- 74,3.0314277819356117
RPE012,37.3543222,-77.4134022,I- 95,0.46830822964206004
GVW243,35.6949178,-82.04924799999999,I- 40,3.448116742060979
YPE021,46.5847461,-120.47814,I- 82,0.23732874921077876
DTW620,42.0947108,-83.283587,I- 75,2.12951754465335
JPW031,37.3400393,-94.2983744,I- 49,0.32642799753128304
ATW715,33.0172618,-85.0882108,I- 85,3.3135115094674132
RLW096,37.344807,-78.97744399999999,I- 81,36.293455530021255
INE109,39.3616568,-85.9471207,I- 65,0.24003247319176965
DTE241,42.3043287,-83.3304522,I- 94,3.619835075171449
NAE003,36.2435518,-85.9539653,I- 40,4.4316473517527575
DTE054,42.49104,-83.1089958,I- 75,0.3593873968238963
BVW031,35.4516819,-94.7605635,I- 40,0.08573079368878336
SEW199,47.2243315,-123.1224968,I- 5,17.088072979114123
AUW122,30.19712,-97.7436649,I- 35,1.0440135807393176
HFE026,41.5380702,-73.10420959999999,I- 84,0.8786946464911473
MYG274,33.9048609,-79.0462095,I- 95,40.959835029890876
HFW071,41.5718864,-72.59841519999999,I- 91,5.855713871836955
OKW068,34.7394744,-97.2609655,I- 35,0.08523299670545978
RLE056,37.3292118,-80.7363866,I- 77,17.016857764241937
LFE004,40.3747692,-86.77765169999999,I- 65,0.32604540654444847
LSE009,38.4757487,-85.5990247,I- 65,9.170955784262535
LFE003,40.4580214,-86.846126,I- 65,0.09931760402169626
LAE006,33.6783632,-117.8016963,I- 405,0.9482639476889426
AQE009,35.1279719,-107.828237,I- 40,0.2524684150359454
BEW047,30.9408266,-93.9971115,I- 10 W,55.56518959131451
SEW200,48.2488459,-124.25842,I- 5,86.49014853905253
DTE109,42.1409444,-83.191255,I- 75,2.5626643083581984
INW349,40.7557575,-86.7640177,I- 65,15.127138383657327
DTW624,42.125904,-83.2251712,I- 75,0.8166973693226857
MAE046,25.7870407,-80.1407213,I- 195,1.599720857754073
RNW040,39.1540609,-119.7674174,I- 580,1.2074959775508347
DCE011,38.7820329,-77.1485838,I- 95,0.8226086506787265
DCE011,38.7820329,-77.1485838,I- 495,0.8226086506787265
RPW079,37.5558459,-77.4581816,I- 95,0.37128172154642025
RPW079,37.5558459,-77.4581816,I- 64,0.37128172154642025
AME009,36.75394319999999,-103.8216548,I- 25,33.966277403347675
CLW185,41.5133749,-81.600016,I- 90,2.298447216093116
BAW014,35.6019017,-119.3400302,I- 5,12.596281072696062
LFW018,40.4203127,-86.8865144,I- 65,2.824642830390559
SEE015,47.5015533,-122.3340391,I- 5,2.3875249932752083
OKW069,34.7399669,-97.2661334,I- 35,0.11026687138883046
CUE017,32.8171695,-85.19885599999999,I- 85,0.8608501496444763
CHE300,41.9644874,-88.0985668,I- 355,3.3304776817394086
CHE324,41.419765,-87.3304301,I- 65,0.454067503205109
FSE044,43.75806130000001,-84.5894112,I- 75,28.11738835507952
HOG4A2,29.9202128,-95.4932047,I- 45,4.827340760217862
SBG019,42.0592347,-86.4594066,I- 94,0.050043271338246514
SPG047,46.8909042,-119.6024387,I- 90,14.639995642496766
