gtvid,c_nfc_enabled
ATW973,Unknown
AUE028,Unknown
AUE064,Unknown
AUG046,Unknown
AUG054,Unknown
AUG073,Unknown
AUG074,Unknown
AUG090,Unknown
AUG104,Unknown
AUG117,Unknown
AUG120,Unknown
AUG172,Unknown
AUG227,Unknown
AUG247,Unknown
AUG258,Unknown
AUG263,Unknown
AUG265,Unknown
AUG276,Unknown
AUG277,Unknown
AUG279,Unknown
AUG280,Unknown
AUG281,Unknown
AUG291,Unknown
AUG311,Unknown
AUG312,Unknown
AUG316,Unknown
AUG326,Unknown
AUG328,Unknown
AUG330,Unknown
AUG333,Unknown
AUG342,Unknown
AUG346,Unknown
AUG347,Unknown
AUG349,Unknown
AUG351,Unknown
AUG352,Unknown
AUG353,Unknown
AUG357,Unknown
AUG358,Unknown
AUG359,Unknown
AUG363,Unknown
AUG366,Unknown
AUG367,Unknown
AUG369,Unknown
AUG371,Unknown
AUG372,Unknown
AUG378,Unknown
AUG383,Unknown
AUG384,Unknown
AUG385,Unknown
AUG391,Unknown
AUG392,Unknown
AUG394,Unknown
AUG397,Unknown
AUG398,Unknown
AUG400,Unknown
AUG401,Unknown
AUG402,Unknown
AUG403,Unknown
AUG404,Unknown
AUG407,Unknown
AUG408,Unknown
AUG412,Unknown
AUG413,Unknown
AUG415,Unknown
AUG419,Unknown
AUG421,Unknown
AUG422,Unknown
AUG423,Unknown
AUG424,Unknown
AUG425,Unknown
AUG427,Unknown
AUG432,Unknown
AUG433,Unknown
AUG436,Unknown
AUG439,Unknown
AUG450,Unknown
AUG452,Unknown
AUG455,Unknown
AUG456,Unknown
AUG464,Unknown
AUG475,Unknown
AUW037,Unknown
AUW122,Unknown
AUW154,Unknown
AUW156,Unknown
AUW158,Unknown
AUW165,Unknown
AXG026,Unknown
AXG030,Unknown
AXW021,Unknown
BAG034,Unknown
BAG039,Unknown
BAG045,Unknown
BAG046,Unknown
BAG047,Unknown
BAG048,Unknown
BAG054,Unknown
BAG055,Unknown
BAG056,Unknown
BAG057,Unknown
BAG058,Unknown
BAG059,Unknown
BAG060,Unknown
BAG061,Unknown
BAG062,Unknown
BAG064,Unknown
BAG065,Unknown
BAG067,Unknown
BAG069,Unknown
BAG070,Unknown
BAG071,Unknown
BAG077,Unknown
BAW013,Unknown
BAW014,Unknown
BAW015,Unknown
BBG012,Unknown
BBG018,Unknown
BBG021,Unknown
BBG023,Unknown
BBG024,Unknown
BBG028,Unknown
BBG029,Unknown
BBG033,Unknown
BBW021,Unknown
BBW023,Unknown
BDE001,Unknown
BDE002,Unknown
BDG002,Unknown
BEE003,Unknown
BEE016,Unknown
BEG001,Unknown
BEG037,Unknown
BEG038,Unknown
BEG039,Unknown
BEG048,Unknown
BEG071,Unknown
BEG079,Unknown
BEG084,Unknown
BEG099,Unknown
BEG103,Unknown
BEG108,Unknown
BEG115,Unknown
BEG117,Unknown
BEG119,Unknown
BEG120,Unknown
BEG128,Unknown
BEG129,Unknown
BEG131,Unknown
BEG133,Unknown
BEG136,Unknown
BEG138,Unknown
BEG139,Unknown
BEG140,Unknown
BEG142,Unknown
BEG143,Unknown
BEG147,Unknown
BEG148,Unknown
BEG149,Unknown
BEG150,Unknown
BEG151,Unknown
BEG155,Unknown
BEG157,Unknown
BEG160,Unknown
BEW001,Unknown
BEW002,Unknown
BEW003,Unknown
BEW018,Unknown
BEW047,Unknown
BEW065,Unknown
BEW066,Unknown
BEW069,Unknown
BEW071,Unknown
BFE001,Unknown
BFE002,Unknown
BFE003,Unknown
BFE012,Unknown
BFE015,Unknown
BFE018,Unknown
BFE022,Unknown
BFE023,Unknown
BFE024,Unknown
BFE026,Unknown
BFE029,Unknown
BFE030,Unknown
BFE035,Unknown
BFG003,Unknown
BFG004,Unknown
BFG035,Unknown
BFW119,Unknown
BFW131,Unknown
BFW137,Unknown
BFW141,Unknown
BFW142,Unknown
BFW149,Unknown
BGG029,Unknown
BGG030,Unknown
BGG031,Unknown
BGG034,Unknown
BGW013,Unknown
BGW016,Unknown
BGW017,Unknown
BGW019,Unknown
BGW025,Unknown
BGW026,Unknown
BGW027,Unknown
BHE001,Unknown
BHG011,Unknown
BHG017,Unknown
BHW008,Unknown
BHW013,Unknown
BHW014,Unknown
BIE009,Unknown
BIE010,Unknown
BIE015,Unknown
BIE023,Unknown
BIE026,Unknown
BIE029,Unknown
BIE036,Unknown
