gtvid,status,predicted_probability,actual_label,residual,model_roc_auc
DCW126,Temporarily Deactivated,0.03538191108615974,0,0.03538191108615974,0.8699592181637268
DCE019,Temporarily Deactivated,0.04842338142484998,1,0.95157661857515,0.8699592181637268
NOW004,Temporarily Deactivated,0.012826457294963003,0,0.012826457294963003,0.8699592181637268
TCW026,Temporarily Deactivated,0.0014634465022109145,0,0.0014634465022109145,0.8699592181637268
GEE008,Awaiting Reactivation,0.0012941444531116434,0,0.0012941444531116434,0.8699592181637268
ATW150,Temporarily Deactivated,0.034578817959926636,0,0.034578817959926636,0.8699592181637268
ATW149,Temporarily Deactivated,0.24047322030238705,0,0.24047322030238705,0.8699592181637268
SSW018,Temporarily Deactivated,0.005761319059282516,0,0.005761319059282516,0.8699592181637268
MNW129,Deactivated,0.006073665849867186,0,0.006073665849867186,0.8699592181637268
TPW020,Temporarily Deactivated,0.10824045986967389,0,0.10824045986967389,0.8699592181637268
KNW035,Temporarily Deactivated,0.001764620118854054,0,0.001764620118854054,0.8699592181637268
LRW011,Temporarily Deactivated,0.005084856746408,0,0.005084856746408,0.8699592181637268
BEW021,Temporarily Deactivated,0.005934697920147097,0,0.005934697920147097,0.8699592181637268
ATW147,Temporarily Deactivated,0.016854579471009237,0,0.016854579471009237,0.8699592181637268
AQW064,Temporarily Deactivated,0.10715407537578509,0,0.10715407537578509,0.8699592181637268
ROW011,Awaiting Installation,0.10545681018541586,0,0.10545681018541586,0.8699592181637268
ATW146,Temporarily Deactivated,0.03136478913184695,0,0.03136478913184695,0.8699592181637268
CSW003,Temporarily Deactivated,0.10816148352122816,0,0.10816148352122816,0.8699592181637268
KNW034,Temporarily Deactivated,0.0022850262168763705,0,0.0022850262168763705,0.8699592181637268
POW046,Deactivated,0.022227457683823074,0,0.022227457683823074,0.8699592181637268
POW045,Deactivated,0.02119311660929625,0,0.02119311660929625,0.8699592181637268
HOW036,Deactivated,0.012684072515524305,0,0.012684072515524305,0.8699592181637268
PDW008,Temporarily Deactivated,0.002899887843826626,0,0.002899887843826626,0.8699592181637268
PTW036,Temporarily Deactivated,0.004988949128878023,0,0.004988949128878023,0.8699592181637268
LAW139,Temporarily Deactivated,0.04421289559802417,0,0.04421289559802417,0.8699592181637268
SEW085,Awaiting Installation,0.033247801154951406,0,0.033247801154951406,0.8699592181637268
CHW281,Temporarily Deactivated,0.013794500298608148,0,0.013794500298608148,0.8699592181637268
DTW120,Temporarily Deactivated,0.04550508809899667,1,0.9544949119010033,0.8699592181637268
ALW004,Temporarily Deactivated,0.0008546156836543937,0,0.0008546156836543937,0.8699592181637268
LRW010,Temporarily Deactivated,0.011037969572608622,0,0.011037969572608622,0.8699592181637268
CNW011,Temporarily Deactivated,0.0011434987228114183,0,0.0011434987228114183,0.8699592181637268
INW114,Awaiting Installation,0.021162714977485467,0,0.021162714977485467,0.8699592181637268
EUW004,Awaiting Installation,0.00021201667844040535,0,0.00021201667844040535,0.8699592181637268
GRW065,Temporarily Deactivated,0.012401184429163523,0,0.012401184429163523,0.8699592181637268
BOE012,Temporarily Deactivated,0.040699381627247504,0,0.040699381627247504,0.8699592181637268
APW005,Temporarily Deactivated,0.0008240054004142094,0,0.0008240054004142094,0.8699592181637268
ASW004,Temporarily Deactivated,0.1464034473995031,0,0.1464034473995031,0.8699592181637268
ORW004,Temporarily Deactivated,0.02943425589354183,0,0.02943425589354183,0.8699592181637268
AQW008,Temporarily Deactivated,0.001884595984263752,0,0.001884595984263752,0.8699592181637268
PXW034,Temporarily Deactivated,0.0001995630289246794,0,0.0001995630289246794,0.8699592181637268
PXW033,Temporarily Deactivated,0.00021696838332787563,0,0.00021696838332787563,0.8699592181637268
PXW032,Temporarily Deactivated,0.00022145595635085562,0,0.00022145595635085562,0.8699592181637268
ATW145,Temporarily Deactivated,0.07498296293586051,0,0.07498296293586051,0.8699592181637268
MOW001,Temporarily Deactivated,0.006747545544207534,0,0.006747545544207534,0.8699592181637268
GBE002,Temporarily Deactivated,0.010170509551311081,0,0.010170509551311081,0.8699592181637268
CLW044,Temporarily Deactivated,0.07058403714092978,0,0.07058403714092978,0.8699592181637268
MYW002,Awaiting Installation,0.0039627052345375,0,0.0039627052345375,0.8699592181637268
