gtvid,avg_monthly_revenue,revenue_percentile
OTG010,14.19,3.7932851190191097
TUG017,93.65361702127659,28.31074285166914
NYG274,369.64212765957456,76.48833756405958
BVG004,498.8895744680851,85.05196609033
AUG058,147.18361702127658,43.39288280090042
FRG055,64.5342222222222,18.43000143685042
SKE034,251.41510638297876,63.087312610757216
TCE040,114.38270270270274,34.776569759088076
GBG258,121.50934782608698,36.644475310120214
GVE139,121.77760869565216,36.73068633555247
HOG681,439.988510638298,81.58915656880119
BVG023,15.204444444444444,4.013602184012644
DCG746,102.40677419354839,30.983284640068966
BLG284,145.64000000000001,42.99535418362948
FRG111,160.90978723404254,46.72158628286795
CMG188,86.17999999999999,25.571148043488673
SKE048,72.62152173913043,21.289333780353463
LAE001,225.41540540540538,59.1216054408736
MPG252,1046.0571739130435,97.60045979213564
CUG051,384.1219148936171,77.70966042434982
HTG038,203.56702127659577,55.52468987978351
JVG370,75.23837209302324,22.060443507830833
SHG032,45.98095238095239,12.083912064754058
MNE088,218.56744680851057,58.00086211025432
BHG008,86.37809523809524,25.64778006609512
SFG011,195.76680851063833,53.99683892906748
LAG812,114.43181818181819,34.8100962689784
LXG132,144.24957446808511,42.588246563532735
BOG149,199.4917391304348,54.787106662196464
SLG233,628.1291489361703,90.63652473777479
PTS026,936.7993617021275,96.58508549260021
CHS115,1446.772765957447,99.3534173092581
GHG248,331.0969999999999,72.7381579577566
RAG059,232.856170212766,60.29503328703482
HOG470,816.1906382978723,95.00455002634226
JMG019,60.01851063829789,16.873413477656975
ING175,110.85808510638296,33.76119545955266
LRG280,59.618000000000016,16.739307438095693
GVE156,298.16851063829785,69.18913741079554
JNG043,51.158125,13.899133100244264
CHE632,202.70000000000002,55.41453134728675
DVE013,81.50382352941176,23.99061257723071
CMG111,344.33553191489364,74.01695483500167
TRE027,199.54446808510636,54.806264667848076
NAG311,323.35547619047617,71.89041620767277
MCG097,141.91063829787237,42.06140140811341
BOG353,232.90565217391304,60.31419129268643
GRG010,124.83152173913044,37.70774462378466
LBG038,230.3244680851064,59.868767661286455
CAG588,15.490454545454543,4.0854447052061875
WOG084,21.519999999999996,5.301978064083529
FVG054,28.74757575757576,7.102830595335025
CHG028,383.1960000000001,77.6569759088079
GVG116,181.69097560975607,51.0800325686096
SEE023,119.9530434782609,36.20863068154605
ATG59F,177.08230769230764,50.275396331241915
FWE012,127.8047619047619,38.41180133148139
HLG101,224.1445238095238,58.915656880118775
SVG125,87.57595744680853,26.102782700320894
CNG205,60.63851063829788,17.055414531347285
CMW074,30.270769230769222,7.557833229560802
DTE274,190.5242857142857,52.90962210833852
SLG385,74.05,21.648546386321183
LAG003,613.5389130434781,90.12883758800709
TUG024,184.72617021276594,51.64519373533215
MAG327,647.4361290322582,91.25437042003927
KCG332,55.795,15.426984050960295
SHG042,271.20291666666657,65.76464390056995
PDG141,28.89,7.169883615115666
MWG276,99.92702127659572,30.279227932372237
MNG445,87.08042553191488,25.920781646630584
HOG626,0.0,0.4262656257483596
ORS009,1112.7257446808512,98.01235691364528
ORS041,958.0993617021278,96.83413956607117
LEG010,46.00925925925926,12.093491067579864
SIG069,50.84,13.817711576224914
WPS001,817.2348936170213,95.02370803199386
HOG3F5,243.05342857142855,61.889937257531486
LRG011,131.39510638297875,39.45112313808132
CYE001,75.10488888888888,22.007758992288903
NYS147,1730.9665957446807,99.70305091240002
CMG019,313.81512195121957,71.00435844628574
ATG820,43.44076923076924,11.221801810431533
HFG095,234.24361702127658,60.54408736050577
WPG043,397.3127659574469,78.6675607069304
TLG096,440.0775000000001,81.59394607021409
CHE008,178.39428571428567,50.510081900474155
CNE021,126.25891304347826,38.00469371138464
GVE167,385.53999999999996,77.81502945543369
TPG643,75.78033333333333,22.232865558695337
SRG081,168.5135714285714,48.52243881411945
SAG215,169.4468085106383,48.72359787346137
JVG309,411.8310638297871,79.66856650222711
CTG040,162.5721276595745,47.10953589731309
SPE007,37.96600000000001,9.57421332439293
TPG049,96.17857142857143,29.096221083385217
LAG167,777.5610638297873,94.2621773073423
LAG230,0.0,0.4262656257483596
ROE020,161.0977777777778,46.75990229417118
GGG007,240.50212765957443,61.535514152976674
DCG159,305.7115217391305,70.1374586905503
KCG066,114.30999999999999,34.743043249197754
SSG015,272.6821276595744,65.92748694860865
MNG514,126.36521739130436,38.02385171703625
GBG264,190.99021276595744,53.014991139422385
PXS013,1016.5836170212763,97.34661621725178
SDG009,962.8972340425536,96.9059820872647
THG016,66.26851063829788,18.961636093682646
LAG048,971.0789361702127,96.97303510704535
DYG058,36.78380952380952,9.238948225489725
SLE078,140.53149999999997,41.66387279084247
DMG242,45.4825,11.925858518128262
RAG400,241.39999999999998,61.660041189712146
SPE016,54.49255319148936,15.048613439340963
LAG146,857.2434042553191,95.61281670578093
HRG014,130.9665957446809,39.288280090042626
DCG845,147.7323076923077,43.54614684611332
SVG139,574.6325531914894,88.60577613870396
KCG093,379.60829787234036,77.30255280425307
MNS144,361.8806382978724,75.75554384788543
LAG160,1163.365744680851,98.31888500407108
DTE093,473.511851851852,83.66301068058814
ATG546,247.65000000000006,62.507782939795966
ATE281,21.26035714285714,5.230135542889985
MPG296,56.43794871794871,15.73351214138608
LAG357,914.4840425531919,96.31208391206475
CTG079,73.49549999999999,21.524019349585707
DVG142,190.08340425531918,52.79946357584175
CHG332,194.97724137931033,53.833995881028784
MWS051,288.91340425531916,68.06360457876335
ATG5B4,58.49909090909091,16.43756884908281
GHG213,201.72978260869573,55.23253029359643
WBE039,96.70404255319151,29.26864313424972
FRG283,68.70333333333333,19.929115379089037
SAG471,7.814,2.7300158053546624
NYG586,9.0425,2.9168063604578762
HOG67C,56.167631578947365,15.589827098998994
NAG415,127.435,38.306432300397525
CHE245,547.4708510638299,87.45629579960726
CLS034,420.16191489361705,80.32951769720772
EPG170,477.19936170212765,83.87853824416878
CHE514,406.6672340425533,79.3141433976723
PDG122,52.06666666666666,14.167345179366826
RNE016,580.4550000000002,88.88835672206523
TCE033,87.51468750000002,26.074045691843477
RPG018,362.36583333333334,75.80822836342736
CDG096,51.3404255319149,13.970975621437807
LAG429,514.1113333333334,85.78954930791704
PDG143,119.7575,36.184683174481535
MNG373,121.98170212765959,36.83605536663633
RNG015,254.744,63.56626275204751
RAG401,176.59744680851068,50.19876430863547
POG006,239.1718181818182,61.324776090808946
AUG347,47.29111111111111,12.663441735715312
DFG337,1.5316666666666665,1.6332199817998945
DTE151,772.78085106383,94.19512428756165
DYS054,228.6489361702127,59.58618707792518
LOG001,86.81750000000001,25.82978111978543
LVE010,223.4684090909091,58.78155084055749
AQS122,211.2848936170212,56.894487283873744
WOG202,0.0,0.4262656257483596
DTS001,255.36851063829786,63.647684276066855
PLG229,206.3765957446809,55.989271516835096
FSG078,178.1026666666667,50.44781838210642
GBG198,54.85212765957445,15.149192969011924
PTE028,120.34804878048784,36.35231572393314
PAG029,212.42809523809518,57.11001484745438
BAG022,70.38714285714286,20.54696106135351
BHS022,778.141489361702,94.28612481440682
MMG275,421.73617021276584,80.43009722687867
CHG513,85.37,25.283777958714495
BOG404,377.3763636363637,77.12055175056277
DFG681,355.9094444444446,75.19996168398869
TPE061,384.7821276595745,77.76234493989175
AQS046,357.05826086956523,75.26222520235643
WRG075,114.04936170212765,34.647253220939696
SKG198,295.05021276595744,68.89218832319555
HOG93C,123.06333333333335,37.137793955649215
RFE011,28.599574468085102,7.054935581205996
HTG031,7.697142857142857,2.701278796877245
JVE013,126.23461538461542,37.99990420997174
SLE050,195.28127659574463,53.89625939939652
LAG639,31.008,7.758992288902725
CDG089,269.82410256410253,65.63053786100866
NYG081,223.07681818181817,58.72407682360266
MNG609,20.515,5.05771349202548
LCG015,48.7559574468085,13.175918386895923
NPG157,261.03125,64.44753101202164
CLG251,247.3194117647059,62.45988792566693
MAG084,106.23555555555555,32.24292351166243
SYS002,424.93659574468086,80.62167728339479
HOG4DC,151.035,44.379520091958426
DCG397,395.64142857142855,78.56698117725945
AUG455,108.4208333333333,32.97571722783658
DTG121,744.4704255319149,93.65391062790363
GVE005,200.3295,54.97868671871258
PRS002,229.25978723404256,59.69634561042195
NOG130,654.6940425531916,91.465108482207
DCG768,387.01184210526316,77.89645097945304
RAG570,864.1263829787234,95.69902773121318
BRG017,660.4505714285715,91.6183725274199
AXG017,62.19133333333333,17.678049715024667
MNE030,193.65446808510643,53.594520810383635
TLG075,467.04523809523806,83.29900857320753
COG225,17.27193548387097,4.382393792806169
DCG308,265.62,65.06537669428612
COE020,151.20521739130433,44.40346759902294
GBG020,97.17051282051283,29.417117678049713
SFE025,595.4160869565218,89.51578140715552
BEG091,249.41893617021285,62.79036352315724
RMG071,113.37333333333333,34.45088366301068
DFG565,341.1231707317073,73.7343742516404
PDE004,17.914615384615384,4.521289333780353
FMS032,439.2097872340425,81.55563005891086
SIG070,0.29,1.2572441208870155
INS040,229.86723404255326,59.80171464150582
MNE120,201.49978723404254,55.18463527946741
HOG168,404.53673913043485,79.1608793524594
MYG219,145.3111111111111,42.87082714689401
SCE051,257.0689361702128,63.920685856602326
SAG369,52.277872340425525,14.25355620479908
CHE241,709.3490625000001,92.93548541596819
SAG313,534.0493617021275,86.84802912016859
CNS087,661.1812765957446,91.65668853872312
PDG027,132.27978723404252,39.623545188945826
JNG016,155.66851063829787,45.529000431055124
GBG261,79.47925000000001,23.38234589779204
SGE024,86.32733333333333,25.614253556204797
NPE032,269.65425531914894,65.61137985535706
TAE015,61.67148936170214,17.467311652856935
DFG403,27.886666666666667,6.887303031754394
MNG677,0.34,1.3099286364289477
JME005,166.70512195121952,48.1105416926098
MWE061,98.17414634146343,29.776330284017433
YPG075,68.68769230769232,19.914746874850326
MWG244,173.49468085106383,49.52344460941616
CCG071,891.588085106383,96.0678193400067
DTG244,163.43862068965518,47.35858997078404
INS005,615.9680851063832,90.24857512332966
SEG110,200.8268085106383,55.06968724555774
RAG313,155.05893617021277,45.36615738301643
CAG577,109.51607142857142,33.38761434934623
ORG609,144.89999999999998,42.74630011015853
