column_name,description,pct_missing,n_unique,data_type
GTVID,Public-facing site identifier (GSTV ID),0.0,67644,String
Latitude,Site latitude coordinate,0.0,67473,Float64
Longitude,Site longitude coordinate,0.0,67333,Float64
nearest_site,GTVID of the nearest other GSTV site,0.0,48973,String
nearest_site_lat,Nearest Site Lat,0.0,48894,Float64
nearest_site_lon,Nearest Site Lon,0.0,48829,Float64
nearest_site_distance_m,Nearest Site Distance M,0.0,46544,Float64
nearest_site_distance_mi,Distance in miles to the nearest GSTV site,0.0,46544,Float64
